"","","","","","","","",""
"Endgültiges Ergebnis der Europawahl 2014 in den Hamburger Stadtteilen 1","","","","","","","",""
"Wahlbeteiligung und Stimmenanteile ausgewählter Parteien in Prozent","","","","","","","",""
" ","","","","","","","",""
"Bezirk/Stadtteil","Wahlbe-
teiligung","CDU","SPD","GRÜNE","FDP","DIE LINKE","AfD","Übrige"
"","","","","","","","",""
"","","","","","","","",""
"","Bezirk Hamburg-Mitte","","","","","","",""
"Steilshoop","31.1514","17.8029","44.4098","9.77795","1.67511","10.4402","7.94702","7.94702"
"Wellingsbüttel","60.6804","36.9733","28.9677","13.132","7.16292","3.26545","7.40871","3.08989"
"Sasel","58.5926","34.1755","34.8483","13.6642","4.06638","3.99163","6.27897","2.97503"
"Poppenbüttel","53.7542","32.2025","35.1316","13.073","4.81549","4.25285","6.96674","3.55784"
"Hummelsbüttel","44.2018","29.2213","38.1161","10.7028","3.87868","6.88247","7.05745","4.14115"
"Lemsahl-Mellingstedt","58.8139","35.4189","31.0664","15.2339","5.76714","2.88357","6.85528","2.77476"
"Duvenstedt","53.7497","32.898","30.3483","17.2886","4.10448","4.85075","7.21393","3.29602"
"Wohldorf-Ohlstedt","62.6666","34.5733","26.55","17.5055","7.07513","4.74106","6.05398","3.50109"
"Bergstedt","57.4642","26.3379","34.4176","19.2725","3.60266","5.52641","5.73627","5.10668"
"Volksdorf","62.3147","28.5521","30.8302","20.3679","4.80931","5.6868","5.8893","3.86433"
"Rahlstedt","41.1588","27.789","38.2841","11.3463","3.1082","6.87724","7.05645","5.53875"
"Bezirk Wandsbek ohne Briefwahl","x","27.6101","36.0548","13.5512","3.5285","6.69796","7.01085","5.54655"
"Bezirk Wandsbek mit Briefwahl","43.3566","29.3694","35.6012","12.5306","3.87219","6.16166","7.28589","5.17907"
"","Bezirk Bergedorf","","","","","","",""
"Lohbrügge","36.8617","24.9444","41.3189","9.82193","1.9616","8.72287","6.66388","6.5665"
"Bergedorf","44.6781","22.0037","36.0888","17.3622","2.83574","9.06902","6.03264","6.60781"
"Curslack","47.0851","34.0169","34.0169","16.1641","2.41255","3.73945","6.75513","2.89505"
"Altengamme","52.4986","35.6185","31.5946","16.3934","2.98063","4.17288","4.17288","5.06706"
"Neuengamme","46.916","36.8078","31.8132","12.595","2.17155","4.88599","7.05755","4.66884"
"Kirchwerder","44.3535","39.213","30.0317","11.9403","2.35188","5.69878","5.83446","4.9299"
"Ochsenwerder","47.3546","42.9603","26.1733","10.8303","4.69314","4.33213","5.41516","5.59567"
"Reitbrook","48.1818","47.482","29.4964","13.6691","0.719424","2.8777","4.31655","1.43885"
"Allermöhe","44.1708","40.6475","29.4964","12.5899","2.51799","6.47482","4.31655","3.95683"
"Billwerder","42.3776","22.9682","38.1625","14.841","3.18021","11.3074","4.24028","5.30035"
"Moorfleet","42.1371","31.9392","34.2205","10.2662","1.14068","6.08365","9.5057","6.84411"
"Tatenberg","50.9712","37.9518","28.9157","10.241","3.61446","9.03614","5.42169","4.81928"
"Spadenland","41.482","44.2623","26.2295","9.83607","1.63934","5.7377","4.09836","8.19672"
"Neuallermöhe","29.2076","18.8612","36.5254","11.8085","1.52054","14.3966","7.3439","9.54384"
"Bezirk Bergedorf ohne Briefwahl","x","26.5832","36.3509","13.2482","2.33962","8.66402","6.34094","6.47321"
"Bezirk Bergedorf mit Briefwahl","39.3891","27.5384","36.736","12.4896","2.5506","7.98099","6.45235","6.25197"
"","Bezirk Harburg","","","","","","",""
"Harburg","32.5904","15.5297","31.3678","18.0665","2.29688","13.2671","7.1649","12.3072"
"Neuland/Gut Moor","41.6533","31.6614","39.4984","6.26959","1.5674","5.95611","9.71787","5.32915"
"Wilstorf","36.9491","22.0818","39.9257","12.0446","2.04461","8.99628","7.84387","7.0632"
"Rönneburg","45.7067","24.2857","39.1429","12.7143","2.28571","9.85714","7.14286","4.57143"
"Langenbek","44.7346","24.1816","40.7603","13.9388","2.53432","7.07497","6.86378","4.64625"
"Sinstorf","43.6031","31.2155","38.3978","9.11602","3.03867","5.52486","7.45856","5.24862"
"Marmstorf","48.9618","30.2752","36.0695","12.6992","2.36601","7.48431","7.24288","3.86287"
"Eißendorf","41.7135","27.3001","35.1892","12.9192","3.05245","8.10404","7.45916","5.97592"
"Heimfeld","40.8588","19.8898","32.0388","18.8664","2.7027","10.942","7.42587","8.13435"
